transaction_id,order_id,merchant_id,terminal_id,channel,payment_mode,card_network,issuer_bank,amount,currency,txn_initiated_at,auth_status,ledger_status,settlement_status,current_status,failure_stage,failure_reason_code,failure_reason_desc,retry_count,trace_id
TXN2026M0000000,ORDM0000000,MRC28513,TID57095,ONLINE,WALLET,MASTERCARD,SBI,17506.66,INR,2026-02-04T06:42:11,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE438632
TXN2026M0000001,ORDM0000001,MRC17863,TID76065,ONLINE,CARD,VISA,KOTAK,6109.83,INR,2026-02-02T12:48:38,SUCCESS,FAILED,SUCCESS,FAILED,LEDGER,LEDGER_CREDIT_MISSING,Credit entry missing after debit,2,TRACE389993
TXN2026M0000002,ORDM0000002,MRC86692,TID62383,ONLINE,WALLET,MASTERCARD,ICICI,19259.54,INR,2026-02-03T00:02:54,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE888026
TXN2026M0000003,ORDM0000003,MRC32316,TID58828,POS,UPI,MASTERCARD,KOTAK,19638.27,INR,2026-02-01T15:59:57,SUCCESS,SUCCESS,FAILED,FAILED,BANK_FILE,BANK_FILE_REJECTED,Issuer bank rejected settlement file,0,TRACE758932
TXN2026M0000004,ORDM0000004,MRC74395,TID59851,ONLINE,CARD,RUPAY,HDFC,13518.86,INR,2026-02-02T19:47:05,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE331208
TXN2026M0000005,ORDM0000005,MRC39019,TID27750,POS,CARD,RUPAY,HDFC,5048.78,INR,2026-02-01T14:12:33,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE924021
TXN2026M0000006,ORDM0000006,MRC35536,TID67701,POS,UPI,RUPAY,SBI,4844.99,INR,2026-02-03T20:28:31,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE743064
TXN2026M0000007,ORDM0000007,MRC73674,TID81017,ONLINE,UPI,VISA,AXIS,9334.62,INR,2026-02-03T18:48:59,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE446880
TXN2026M0000008,ORDM0000008,MRC43987,TID91673,ONLINE,CARD,MASTERCARD,AXIS,14941.05,INR,2026-02-04T13:21:57,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE548325
TXN2026M0000009,ORDM0000009,MRC89295,TID75489,ONLINE,WALLET,VISA,KOTAK,3272.57,INR,2026-02-03T02:57:49,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE587828
TXN2026M0000010,ORDM0000010,MRC91266,TID85832,ONLINE,CARD,,AXIS,568.11,INR,2026-02-02T15:54:16,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,1,TRACE885118
TXN2026M0000011,ORDM0000011,MRC29140,TID93572,ONLINE,UPI,VISA,HDFC,6594.3,INR,2026-02-03T20:44:23,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE990059
TXN2026M0000012,ORDM0000012,MRC56549,TID17259,ONLINE,WALLET,MASTERCARD,ICICI,5890.0,INR,2026-02-02T05:10:08,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,1,TRACE922427
TXN2026M0000013,ORDM0000013,MRC19368,TID51831,POS,UPI,RUPAY,AXIS,2720.56,INR,2026-02-04T05:58:45,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,2,TRACE507450
TXN2026M0000014,ORDM0000014,MRC20340,TID81773,ONLINE,UPI,,SBI,13734.79,INR,2026-02-04T09:43:20,FAILED,SUCCESS,SUCCESS,FAILED,AUTH,ISSUER_TIMEOUT,Issuer did not respond within SLA,1,TRACE606066
TXN2026M0000015,ORDM0000015,MRC15854,TID87959,ONLINE,WALLET,MASTERCARD,SBI,4784.46,INR,2026-02-02T21:48:19,SUCCESS,SUCCESS,SUCCESS,SETTLED,,,,0,TRACE509307
